customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0032,Male,0,21.0,YES,Fiber optic,Month-to-month,No,  Credit card  ,29.73,600.01,Yes
CUST-0110,Male,0,55.0,YES,Fiber optic,Two year,Yes,Bank transfer,46.32,2515.48,No
CUST-0137,Female,1,46.0,Yes,Fiber optic,Month-to-month,No,  Mailed check  ,87.06,4153.97,Yes
CUST-0089,Female,1,63.0,Yes,Fiber optic,Month-to-month,YES,Mailed check,56.97,3641.3,Yes
CUST-0919,Female,0,8.0,Yes,DSl,month to month,No,Electronic check,39.69,309.79,Yes
CUST-0298,Male,0,51.0,yes,Fiber optic,Month-to-month,yEs,Mailed check,67.12,3591.46,Yes
CUST-0871,Male,0,5.0,yes,DSL,Month-to-month,Yes,  Mailed check  ,57.59,291.98,Yes
CUST-0319,Male,0,61.0,Yes,DSL,One year,Yes,Mailed check,105.22,6547.31,No
CUST-0262,Female,0,41.0,Yes,dsl,Month-to-month,Yes,Electronic check,41.74,1760.03,No
CUST-0536,Female,0,19.0,Yes,No,One year,Yes,Electronic check,57.72,1149.78,No
CUST-0920,  Male  ,0,13.0,Yes,fiber optic,month-to-month,No,Mailed check,66.97,878.77,Yes
CUST-0597,Female,0,30.0,Yes,DSL,Two year,Yes,Electronic check,23.2,668.6,No
CUST-0077,Female,0,7.0,Yes,No,month to month,Yes,Mailed check,31.57,227.07,Yes
CUST-0108,Female,0,41.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,76.47,,Yes
CUST-0425,Male,1,18.0,No,DSL,Month-to-month,No,Electronic check,97.42,1763.21,Yes
CUST-0585,Female,1,43.0,Yes,FiberOptic,One year,No,  Electronic check  ,24.72,1027.74,No
CUST-0854,Female,1,10.0,yEs,Fiber optic,Month-to-month,No,Electronic check,45.39,451.97,Yes
CUST-0665,Male,1,19.0,Yes,Fiber optic,Two year,Yes,  Credit card  ,,483.31,NO
CUST-0830,Male,0,8.0,Yes,No,Two year,Yes,Electronic check,43.27,331.4,No
CUST-0421,Female,0,38.0,Yes,Fiber optic,Two year,No,Mailed check,91.43,3438.64,No
CUST-0598,Male,0,57.0,YES,No,Month-to-month,Yes,Credit card,32.31,1764.75,Yes
CUST-0459,Male,0,60.0,Yes,DSL,Monthly,Yes,Bank transfer,85.81,,Yes
CUST-0313,Male,0,55.0,Yes,DSL,Two Year,Yes,Bank transfer,20.26,1156.29,No
CUST-0650,Male,0,39.0,Yes,No,Month-to-month,Yes,Credit card,106.03,4177.57,No
CUST-0366,Male,0,19.0,No,dsl,Two year,Yes,Bank transfer,42.25,779.98,NO
CUST-0322,Female,0,27.0,Yes,No,1 year,No,Credit card,92.97,2445.32,NO
CUST-0630,Male,0,3.0,Yes,Fiber optic,1 year,Yes,Bank transfer,43.72,128.22,nO
CUST-0915,  Female  ,0,17.0,yes,Fiber optic,One year,Yes,Bank transfer,33.22,562.84,No
CUST-0469,Male,1,34.0,Yes,DSL,Month-to-month,No,Electronic check,100.29,3439.15,No
CUST-0599,Male,0,47.0,YES,dsl,Month-to-month,YES,Credit card,88.76,3964.26,No
CUST-0395,Male,0,51.0,Yes,Fiber optic,month to month,Yes,Credit card,85.06,4475.06,No
CUST-0537,  Female  ,0,64.0,Yes,DSL,Month-to-month,Yes,Mailed check,90.5,5519.97,yEs
CUST-0721,Female,0,37.0,Yes,Fiber optic,Two year,No,Credit card,33.93,1211.79,No
CUST-0334,Male,1,49.0,Yes,DSL,Month-to-month,Yes,  Mailed check  ,34.68,1681.06,Yes
CUST-0410,Male,1,41.0,YES,No,2 year,No,Mailed check,82.84,3410.42,Yes
CUST-0060,Male,0,2.0,Yes,DSL,Month-to-month,No,Bank transfer,91.08,191.03,No
CUST-0257,Female,0,41.0,Yes,Fiber optic,month to month,No,Bank transfer,,3480.64,Yes
CUST-0970,Male,0,41.0,Yes,Fiber optic,Two year,No,Bank transfer,74.72,3013.27,No
CUST-0686,Female,1,4.0,yes,DSL,Two year,No,Electronic check,45.26,184.43,No
CUST-0343,Male,1,62.0,Yes,Fiber optic,One year,Yes,Electronic check,48.19,2867.83,No
CUST-0636,Male,0,61.0,Yes,Fiber optic,Two Year,no,Credit card,29.7,,No
CUST-0709,Male,0,9.0,No,Fiber optic,two year,Yes,Mailed check,25.97,223.55,No
CUST-0011,Male,0,56.0,No,No,Month-to-month,yEs,Mailed check,57.39,,No
CUST-0486,Female,0,51.0,Yes,No,Month-to-month,No,Electronic check,68.43,--,Yes
CUST-0210,Male,1,57.0,yes,No,Month-to-month,no,Bank transfer,87.34,5134.85,Yes
CUST-0140,Female,0,63.0,Yes,Fibre optic,Two year,Yes,Bank transfer,89.89,5588.37,No
CUST-0389,Female,1,41.0,Yes,No,Month-to-month,No,Mailed check,23.03,957.89,yEs
CUST-0623,Male,0,63.0,Yes,Fiber optic,month to month,Yes,  Electronic check  ,99.57,6560.55,NO
CUST-0825,Female,0,16.0,yes,DSL,One Year,Yes,Electronic check,94.96,1507.47,Yes
CUST-0718,Female,0,70.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,76.76,5549.35,Yes
CUST-0846,Male,0,28.0,YES,DSL,Month-to-month,Yes,Mailed check,107.97,3125.56,No
CUST-0688,Male,0,8.0,Yes,Fiber optic,month-to-month,No,Electronic check,44.12,360.48,Yes
CUST-0936,  Male  ,0,48.0,Yes,Fiber optic,Two year,No,Mailed check,83.27,4194.59,No
CUST-0582,Female,0,61.0,yes,fiber optic,One year,No,Electronic check,,1712.65,No
CUST-0383,Female,1,33.0,Yes,DSL,Month-to-month,No,Electronic check,93.39,3136.56,No
CUST-0071,Female,0,10.0,Yes,DSL,One year,Yes,Mailed check,41.97,413.02,No
CUST-0261,Female,0,2.0,yes,DSL,Month-to-month,No,  Electronic check  ,52.93,,No
CUST-0801,Female,1,43.0,Yes,DSL,One year,Yes,  Bank transfer  ,74.56,3049.0,No
CUST-0454,Female,0,65.0,Yes,DSL,One year,No,Credit card,31.24,2108.62,No
CUST-0592,Female,1,66.0,Yes,DSL,month to month,No,  Electronic check  ,,3716.68,nO
CUST-0907,Female,1,18.0,Yes,DSL,One year,Yes,  Electronic check  ,49.11,902.72,NO
CUST-0785,Male,0,53.0,Yes,DSL,Month-to-month,YES,Credit card,69.13,3718.68,Yes
CUST-0214,Male,0,,Yes,Fiber optic,Month-to-month,Yes,Credit card,88.67,1455.85,yEs
CUST-0097,Female,0,52.0,Yes,DSL,One year,Yes,Mailed check,63.45,3257.67,No
CUST-0680,Female,0,28.0,no,No,month to month,nO,Electronic check,48.31,1399.11,Yes
CUST-0850,Female,0,71.0,Yes,DSL,month-to-month,No,  Bank transfer  ,30.87,2218.5,Yes
CUST-0913,Female,1,29.0,Yes,DSL,Month-to-month,Yes,Credit card,,1917.39,Yes
CUST-0881,Male,0,46.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,68.43,3074.46,Yes
CUST-0193,Female,0,40.0,nO,No,One year,No,Electronic check,52.53,2152.86,yEs
CUST-0281,Female,0,,Yes,DSL,Month-to-month,nO,Electronic check,108.8,943.17,no
CUST-0534,Female,0,17.0,Yes,No,One year,Yes,  Electronic check  ,76.74,1319.73,No
CUST-0683,Male,0,22.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,59.96,1368.16,Yes
CUST-0618,Male,0,60.0,Yes,DSL,Month-to-month,Yes,Bank transfer,90.83,5275.1,No
CUST-0983,  Male  ,0,26.0,Yes,DSL,Month-to-month,Yes,Bank transfer,84.47,2131.49,No
